WELL,rows,top_depth,bottom_depth,depth_samples,labeled_rows,unlabeled_rows,depth_range
31_3-4,11413,750.37762451,2120.2016602,9013,5377,6036,1369.8240356899998
31_4-10,13779,258.668396,2351.7084961,13771,8682,5097,2093.0401001
31_4-5,18352,255.02879333,2934.1809082,17627,13400,4952,2679.15211487
31_5-4 S,11467,437.17401123,1907.6219482,9675,11315,152,1470.4479369699998
31_6-5,11597,376.23098755,2088.5109863,11266,11098,499,1712.2799987499998
31_6-8,9727,675.16442871,2147.1323242,9685,9533,194,1471.9678954899998
32_2-1,6059,429.98760986,1292.8916016,5678,3049,3010,862.90399174
33_5-2,27702,324.30407715,4525.5839844,27641,4091,23611,4201.27990725
33_6-3 S,26868,421.68121338,4431.4414063,26381,12681,14187,4009.7601929200005
33_9-1,17606,465.05801392,3130.5300293,17537,17278,328,2665.47201538
33_9-17,19771,254.60998535,3232.4418945,19592,17869,1902,2977.8319091500002
34_10-16 R,25579,222.73600769,4051.0080566,25187,25095,484,3828.27204891
34_10-19,13238,211.1519928,2221.5039063,13227,12662,576,2010.3519135
34_10-21,24926,226.21040344,4014.6584473,24925,22491,2435,3788.44804386
34_10-33,24490,156.0,3878.1760254,24489,6046,18444,3722.1760254
34_10-35,26900,223.375,4308.6791992,26878,20620,6280,4085.3041992
34_11-1,29690,275.93899536,4578.6030273,28308,4226,25464,4302.664031939999
34_11-2 S,29422,1157.8719482,4745.8320313,23606,23310,6112,3587.9600831000007
34_12-1,28434,400.24557495,4711.2695313,28363,9350,19084,4311.02395635
34_2-4,24318,526.16143799,4113.3613281,23601,23404,914,3587.1998901099996
34_3-1 A,24513,438.19271851,4154.2885742,24449,2251,22262,3716.09585569
34_3-2 S,25699,427.22280884,4332.1030273,25691,12229,13470,3904.8802184599995
34_3-3 A,30228,420.36196899,5005.8979492,30169,18190,12038,4585.53598021
34_4-10 R,25514,381.93847656,4243.4985352,25406,3880,21634,3861.5600586400005
34_5-1 A,26343,470.20199585,4403.6582031,25879,14592,11751,3933.45620725
34_5-1 S,22969,470.20199585,3902.8181152,22584,2273,20696,3432.61611935
34_6-1 S,26090,1343.5783691,4352.722168,19798,6479,19611,3009.1437989000005
34_7-13,16891,436.66500854,2997.8649902,16851,3900,12991,2561.19998166
34_7-20,18193,420.51000977,3182.6540527,18173,13157,5036,2762.14404293
34_7-21,18463,216.2460022,3012.5900879,18398,12424,6039,2796.3440857
34_8-1,21558,345.45703125,3617.5610352,21528,17938,3620,3272.10400395
34_8-3,19230,411.68041992,3334.1843262,19228,13342,5888,2922.50390628
34_8-7 R,35896,368.34399414,5477.671875,33615,7084,28812,5109.32788086
35_11-1,19692,373.60913086,3366.3371582,19690,15632,4060,2992.72802734
35_11-10,16967,372.45587158,2950.527832,16962,6206,10761,2578.0719604200003
35_11-11,18710,382.26760864,3220.4116211,18673,12844,5866,2838.14401246
35_11-12,19875,387.48199463,3363.7939453,19582,19112,763,2976.31195067
35_11-13,19119,473.17401123,3290.1899414,18534,2430,16689,2817.01593017
35_11-15 S,18832,467.25640869,3229.7043457,18175,2596,16236,2762.44793701
35_11-5,21963,445.05200195,3781.4519043,21951,21770,193,3336.39990235
35_11-6,23734,471.46359253,3989.6555176,23147,23674,60,3518.1919250700003
35_11-7,16547,385.75,2899.9819336,16542,13005,3542,2514.2319336
35_12-1,16777,479.34280396,3027.7749023,16767,13238,3539,2548.4320983400003
35_3-7 S,24803,283.30786133,4050.171875,24783,5087,19716,3766.86401367
35_4-1,29967,404.66799927,4939.8920898,29838,20825,9142,4535.22409053
35_6-2 S,21948,366.11245728,3695.2165527,21903,13415,8533,3329.1040954200002
35_8-4,21927,464.97640991,3721.576416,21426,2709,19218,3256.60000609
35_8-6 S,23901,508.75878906,4039.1108398,23227,14378,9523,3530.35205074
35_9-10 S,21271,460.26159668,3618.9736328,20782,4313,16958,3158.71203612
35_9-2,16599,1003.2563477,2879.8483887,12347,12330,4269,1876.5920410000003
35_9-5,21206,470.33560181,3527.0556641,20111,4942,16264,3056.72006229
35_9-6 S,22105,470.0880127,3749.9440918,21579,13155,8950,3279.8560791
35_9-7,17166,411.33880615,3000.2028809,17033,10677,6489,2588.86407475
35_9-8,18842,463.30960083,3250.3815918,18337,4274,14568,2787.07199097
36_7-3,16950,572.11999512,2947.7280273,15630,3634,13316,2375.60803218
7_1-1,17982,365.16879272,2815.4086914,16121,16242,1740,2450.23989868
7_1-2 S,19586,198.168396,3168.7043457,19544,2041,17545,2970.5359497
